"Timestamps","Values"
2022-05-24 00:00:00,1453
2022-05-24 00:04:00,1447
2022-05-24 00:08:00,1533
2022-05-24 00:12:00,1431
2022-05-24 00:16:00,1381
2022-05-24 00:20:00,1382
2022-05-24 00:24:00,1329
2022-05-24 00:28:00,1347
2022-05-24 00:32:00,1345
2022-05-24 00:36:00,1384
2022-05-24 00:40:00,1413
2022-05-24 00:44:00,1320
2022-05-24 00:48:00,1294
2022-05-24 00:52:00,1320
2022-05-24 00:56:00,1320
2022-05-24 01:00:00,1303
2022-05-24 01:04:00,1327
2022-05-24 01:08:00,1369
2022-05-24 01:12:00,1392
2022-05-24 01:16:00,1368
2022-05-24 01:20:00,1424
2022-05-24 01:24:00,1417
2022-05-24 01:28:00,1403
2022-05-24 01:32:00,1378
2022-05-24 01:36:00,1311
2022-05-24 01:40:00,1379
2022-05-24 01:44:00,1398
2022-05-24 01:48:00,1382
2022-05-24 01:52:00,1480
2022-05-24 01:56:00,1418
2022-05-24 02:00:00,1408
2022-05-24 02:04:00,1398
2022-05-24 02:08:00,1355
2022-05-24 02:12:00,1398
2022-05-24 02:16:00,1497
2022-05-24 02:20:00,1287
2022-05-24 02:24:00,1357
2022-05-24 02:28:00,1390
2022-05-24 02:32:00,1263
2022-05-24 02:36:00,1294
2022-05-24 02:40:00,1273
2022-05-24 02:44:00,1283
2022-05-24 02:48:00,1296
2022-05-24 02:52:00,1309
2022-05-24 02:56:00,1235
2022-05-24 03:00:00,1166
2022-05-24 03:04:00,1272
2022-05-24 03:08:00,1208
2022-05-24 03:12:00,1182
2022-05-24 03:16:00,1208
2022-05-24 03:20:00,1216
2022-05-24 03:24:00,1183
2022-05-24 03:28:00,1168
2022-05-24 03:32:00,1184
2022-05-24 03:36:00,1203
2022-05-24 03:40:00,1210
2022-05-24 03:44:00,1193
2022-05-24 03:48:00,1247
2022-05-24 03:52:00,1306
2022-05-24 03:56:00,1250
2022-05-24 04:00:00,1229
2022-05-24 04:04:00,1248
2022-05-24 04:08:00,1195
2022-05-24 04:12:00,1277
2022-05-24 04:16:00,1217
2022-05-24 04:20:00,1239
2022-05-24 04:24:00,1163
2022-05-24 04:28:00,1265
2022-05-24 04:32:00,1201
2022-05-24 04:36:00,1219
2022-05-24 04:40:00,1214
2022-05-24 04:44:00,1176
2022-05-24 04:48:00,1239
2022-05-24 04:52:00,1127
2022-05-24 04:56:00,1216
2022-05-24 05:00:00,1112
2022-05-24 05:04:00,1177
2022-05-24 05:08:00,1149
2022-05-24 05:12:00,1224
2022-05-24 05:16:00,1301
2022-05-24 05:20:00,1194
2022-05-24 05:24:00,1211
2022-05-24 05:28:00,1167
2022-05-24 05:32:00,1270
2022-05-24 05:36:00,1269
2022-05-24 05:40:00,1376
2022-05-24 05:44:00,1360
2022-05-24 05:48:00,1397
2022-05-24 05:52:00,1278
2022-05-24 05:56:00,1361
2022-05-24 06:00:00,1415
2022-05-24 06:04:00,1383
2022-05-24 06:08:00,1525
2022-05-24 06:12:00,1554
2022-05-24 06:16:00,1741
2022-05-24 06:20:00,1554
2022-05-24 06:24:00,1646
2022-05-24 06:28:00,1662
2022-05-24 06:32:00,1641
2022-05-24 06:36:00,1590
2022-05-24 06:40:00,1657
2022-05-24 06:44:00,1690
2022-05-24 06:48:00,1759
2022-05-24 06:52:00,1731
2022-05-24 06:56:00,1743
2022-05-24 07:00:00,1705
2022-05-24 07:04:00,1791
2022-05-24 07:08:00,1805
2022-05-24 07:12:00,1875
2022-05-24 07:16:00,1909
2022-05-24 07:20:00,1934
2022-05-24 07:24:00,2022
2022-05-24 07:28:00,1949
2022-05-24 07:32:00,1878
2022-05-24 07:36:00,1883
2022-05-24 07:40:00,1915
2022-05-24 07:44:00,1896
2022-05-24 07:48:00,1995
2022-05-24 07:52:00,1894
2022-05-24 07:56:00,2152
2022-05-24 08:00:00,2095
2022-05-24 08:04:00,2130
2022-05-24 08:08:00,2305
2022-05-24 08:12:00,2200
2022-05-24 08:16:00,2278
2022-05-24 08:20:00,2214
2022-05-24 08:24:00,2311
