"Timestamps","Values"
0,2300
1,2340
2,2294
3,2334
4,2402
5,2188
6,2240
7,2457
8,2019
9,2000
10,2108
11,2060
12,2365
13,2315
14,2395
15,2462
16,2351
17,2053
18,2263
19,2314
20,2429
21,2252
22,2090
23,2097
24,2271
25,2300
26,2013
27,2080
28,2198
29,2238
30,2133
31,2254
32,2119
33,2420
34,2460
35,2014
36,2383
37,2262
38,2086
39,2450
40,2151
41,2060
42,2011
43,2086
44,2072
45,2312
46,2080
47,2136
48,2285
49,2044
50,2290
51,2222
52,2284
53,2330
54,2491
55,2342
56,2368
57,2337
58,2042
59,2065
60,2436
61,2207
62,2252
63,2106
64,2067
65,2247
66,2412
67,2064
68,2311
69,2000
70,2100
71,2192
72,2436
73,2300
74,2301
75,2388
76,2414
77,2473
78,2176
79,2340
80,2059
81,2307
82,2401
83,2199
84,2411
85,2322
86,2112
87,2374
88,2433
89,2122
90,2011
91,2455
92,2128
93,2278
94,2363
95,2168
96,2312
97,2294
98,2387
99,2480
100,2029
101,2002
102,2152
103,2286
104,2210
105,2245
106,2255
107,2002
108,2176
109,2097
110,2224
111,2337
112,2000
113,2156
114,2179
115,2482
116,2225
117,2327
118,2145
119,2411
120,2076
121,2290
122,2166
123,2467
124,2387
125,2294
126,2220
127,2051
128,2273
129,2008
130,2085
131,2081
132,2217
133,2033
134,2354
135,2396
136,2281
137,2094
138,2128
139,2039
140,2028
141,2497
142,2108
143,2041
144,2127
145,2407
146,2005
147,2412
148,2241
149,2230
150,2349
151,2315
152,2040
153,2096
154,2166
155,2021
156,2199
157,2183
158,2367
159,2037
160,2383
161,2493
162,2105
163,2261
164,2449
165,2066
166,2197
167,2099
168,2213
169,2090
170,2186
171,2165
172,2239
173,2026
174,2066
175,2121
176,2402
177,2304
178,2327
179,2078
180,2400
181,2420
182,2434
183,2204
184,2378
185,2355
186,2409
187,2143
188,2435
189,2315
190,2049
191,2348
192,2159
193,2229
194,2012
195,2392
196,2490
197,2065
198,2092
199,2364
200,2409
201,2082
202,2137
203,2062
204,2483
205,2085
206,2170
207,2451
208,2090
209,2417
210,2302
211,2376
212,2339
213,2042
214,2141
215,2357
216,2414
217,2349
218,2369
219,2434
220,2189
221,2089
222,2098
223,2340
224,2213
225,2482
226,2429
227,2032
228,2487
229,2190
230,2416
231,2348
232,2428
233,2217
234,2016
235,2143
236,2184
237,2116
238,2251
239,2195
240,2076
241,2061
242,2419
243,2312
244,2144
245,2289
246,2238
247,2287
248,2491
249,2321
250,2154
251,2458
252,2165
253,2409
254,2102
255,2430
256,2277
257,2340
258,2262
259,2322
260,2334
261,2322
262,2062
263,2050
264,2241
265,2331
266,2134
267,2223
268,2144
269,2008
270,2286
271,2455
272,2493
273,2240
274,2139
275,2125
276,2200
277,2319
278,2195
279,2310
280,2297
281,2452
282,2241
283,2282
284,2075
285,2452
286,2307
287,2316
288,2029
289,2150
290,2056
291,2462
292,2179
293,2252
294,2423
295,2048
296,2444
297,2247
298,2147
299,2091
300,2210
301,2283
302,2087
303,2164
304,2320
305,2218
306,2326
307,2455
308,2139
309,2263
310,2204
311,2016
312,2208
313,2010
314,2290
315,2231
316,2385
317,2384
318,2327
319,2486
320,2116
321,2497
322,2269
323,2368
324,2466
325,2371
326,2278
327,2290
328,2438
329,2138
330,2086
331,2108
332,2173
333,2337
334,2039
335,2325
336,2054
337,2038
338,2408
339,2415
340,2218
341,2236
342,2134
343,2091
344,2447
345,2334
346,2127
347,2470
348,2384
349,2154
350,2122
351,2021
352,2485
353,2270
354,2071
355,2494
356,2325
357,2031
358,2228
359,2097
