/Users/adrianpoplesanu/.sdkman/candidates/java/17.0.4-zulu/zulu-17.jdk/Contents/Home/bin/java -javaagent:/Applications/IntelliJ IDEA CE.app/Contents/lib/idea_rt.jar=59025:/Applications/IntelliJ IDEA CE.app/Contents/bin -Dfile.encoding=UTF-8 -classpath /Users/adrianpoplesanu/Documents/git-projects/personal-work/java/ConcurrencyInPractice2/target/classes ro.adrianus.chapter01.part01.executors.UnsafeSequenceExecutor
ended
main: 0
thread-117 got: 131
thread-30 got: 5
thread-4 got: 1
thread-60 got: 12
thread-35 got: 51
thread-53 got: 53
thread-55 got: 55
thread-37 got: 50
thread-68 got: 56
thread-51 got: 52
thread-390 got: 347
thread-382 got: 346
thread-61 got: 57
thread-407 got: 350
thread-82 got: 58
thread-282 got: 351
thread-283 got: 352
thread-284 got: 353
thread-90 got: 59
thread-288 got: 354
thread-291 got: 355
thread-294 got: 357
thread-292 got: 358
thread-359 got: 360
thread-362 got: 361
thread-371 got: 363
thread-372 got: 365
thread-375 got: 366
thread-377 got: 367
thread-392 got: 369
thread-416 got: 371
thread-422 got: 373
thread-426 got: 376
thread-374 got: 378
thread-83 got: 61
thread-367 got: 377
thread-336 got: 380
thread-415 got: 383
thread-91 got: 60
thread-95 got: 62
thread-132 got: 64
thread-99 got: 65
thread-152 got: 66
thread-155 got: 67
thread-105 got: 68
thread-85 got: 54
thread-108 got: 69
thread-337 got: 385
thread-115 got: 71
thread-339 got: 386
thread-340 got: 387
thread-342 got: 388
thread-343 got: 389
thread-348 got: 390
thread-346 got: 391
thread-351 got: 392
thread-354 got: 396
thread-352 got: 395
thread-388 got: 399
thread-393 got: 401
thread-395 got: 402
thread-394 got: 403
thread-417 got: 382
thread-381 got: 381
thread-386 got: 379
thread-480 got: 449
thread-11 got: 27
thread-739 got: 741
thread-528 got: 459
thread-432 got: 464
thread-535 got: 462
thread-441 got: 469
thread-440 got: 468
thread-439 got: 470
thread-520 got: 474
thread-437 got: 477
thread-737 got: 744
thread-738 got: 745
thread-751 got: 747
thread-752 got: 748
thread-753 got: 749
thread-767 got: 751
thread-770 got: 752
thread-755 got: 756
thread-425 got: 375
thread-458 got: 485
thread-466 got: 491
thread-969 got: 984
thread-976 got: 986
thread-971 got: 985
thread-982 got: 988
thread-981 got: 989
thread-986 got: 990
thread-994 got: 992
thread-472 got: 494
thread-493 got: 497
thread-977 got: 994
thread-896 got: 918
thread-998 got: 919
thread-423 got: 374
thread-915 got: 928
thread-918 got: 930
thread-421 got: 372
thread-930 got: 935
thread-398 got: 370
thread-946 got: 941
thread-920 got: 940
thread-378 got: 368
thread-948 got: 945
thread-953 got: 947
thread-373 got: 364
thread-964 got: 953
thread-978 got: 956
thread-360 got: 362
thread-972 got: 958
thread-980 got: 959
thread-984 got: 960
thread-970 got: 962
thread-997 got: 965
thread-295 got: 359
thread-505 got: 503
thread-776 got: 776
thread-806 got: 795
thread-495 got: 499
thread-226 got: 250
thread-290 got: 356
thread-419 got: 349
thread-928 got: 907
thread-993 got: 964
thread-876 got: 894
thread-898 got: 900
thread-895 got: 899
thread-267 got: 261
thread-878 got: 893
thread-882 got: 897
thread-512 got: 507
thread-758 got: 771
thread-996 got: 967
thread-988 got: 966
thread-912 got: 926
thread-983 got: 963
thread-957 got: 961
thread-968 got: 957
thread-965 got: 955
thread-967 got: 954
thread-975 got: 952
thread-958 got: 951
thread-949 got: 949
thread-960 got: 950
thread-952 got: 948
thread-956 got: 946
thread-947 got: 944
thread-945 got: 943
thread-943 got: 942
thread-939 got: 939
thread-924 got: 934
thread-937 got: 937
thread-938 got: 938
thread-931 got: 936
thread-929 got: 933
thread-914 got: 932
thread-919 got: 931
thread-916 got: 929
thread-900 got: 927
thread-904 got: 924
thread-911 got: 925
thread-910 got: 923
thread-907 got: 921
thread-908 got: 922
thread-901 got: 920
thread-989 got: 916
thread-995 got: 917
thread-501 got: 498
thread-491 got: 496
thread-974 got: 993
thread-985 got: 991
thread-979 got: 987
thread-471 got: 492
thread-457 got: 483
thread-464 got: 490
thread-944 got: 914
thread-460 got: 486
thread-941 got: 912
thread-942 got: 913
thread-455 got: 483
thread-940 got: 911
thread-936 got: 910
thread-935 got: 909
thread-932 got: 908
thread-926 got: 906
thread-925 got: 905
thread-923 got: 904
thread-903 got: 903
thread-880 got: 898
thread-922 got: 902
thread-921 got: 901
thread-894 got: 899
thread-886 got: 895
thread-879 got: 892
thread-883 got: 896
thread-875 got: 891
thread-210 got: 238
thread-198 got: 194
thread-324 got: 235
thread-273 got: 221
thread-866 got: 890
thread-257 got: 213
thread-316 got: 232
thread-735 got: 767
thread-221 got: 249
thread-211 got: 239
thread-744 got: 764
thread-740 got: 763
thread-781 got: 758
thread-799 got: 757
thread-640 got: 662
thread-673 got: 661
thread-668 got: 667
thread-630 got: 650
thread-686 got: 641
thread-680 got: 634
thread-858 got: 848
thread-513 got: 510
thread-553 got: 531
thread-832 got: 801
thread-827 got: 800
thread-481 got: 518
thread-782 got: 798
thread-820 got: 799
thread-828 got: 797
thread-792 got: 788
thread-817 got: 796
thread-778 got: 790
thread-834 got: 794
thread-999 got: 983
thread-788 got: 789
thread-787 got: 787
thread-795 got: 793
thread-796 got: 792
thread-987 got: 982
thread-804 got: 791
thread-992 got: 981
thread-991 got: 980
thread-990 got: 979
thread-973 got: 978
thread-966 got: 977
thread-963 got: 976
thread-962 got: 975
thread-961 got: 974
thread-777 got: 785
thread-933 got: 973
thread-959 got: 972
thread-955 got: 971
thread-950 got: 970
thread-764 got: 786
thread-934 got: 969
thread-766 got: 784
thread-765 got: 783
thread-762 got: 782
thread-813 got: 781
thread-761 got: 779
thread-808 got: 780
thread-812 got: 778
thread-760 got: 777
thread-763 got: 774
thread-775 got: 773
thread-757 got: 769
thread-791 got: 772
thread-759 got: 770
thread-790 got: 768
thread-454 got: 480
thread-489 got: 500
thread-503 got: 502
thread-496 got: 501
thread-954 got: 968
thread-801 got: 759
thread-951 got: 915
thread-861 got: 889
thread-492 got: 495
thread-456 got: 482
thread-743 got: 766
thread-913 got: 888
thread-490 got: 493
thread-906 got: 887
thread-905 got: 886
thread-462 got: 488
thread-470 got: 489
thread-893 got: 885
thread-884 got: 883
thread-889 got: 884
thread-881 got: 880
thread-469 got: 487
thread-874 got: 882
thread-877 got: 881
thread-872 got: 879
thread-871 got: 877
thread-867 got: 878
thread-868 got: 876
thread-463 got: 484
thread-870 got: 875
thread-865 got: 874
thread-864 got: 873
thread-863 got: 872
thread-452 got: 478
thread-862 got: 871
thread-384 got: 445
thread-444 got: 476
thread-756 got: 765
thread-431 got: 472
thread-784 got: 761
thread-443 got: 481
thread-486 got: 455
thread-732 got: 762
thread-356 got: 325
thread-364 got: 328
thread-353 got: 324
thread-345 got: 436
thread-902 got: 870
thread-250 got: 303
thread-387 got: 433
thread-860 got: 869
thread-350 got: 323
thread-309 got: 287
thread-448 got: 429
thread-442 got: 427
thread-300 got: 280
thread-114 got: 85
thread-331 got: 316
thread-497 got: 451
thread-476 got: 444
thread-695 got: 679
thread-698 got: 682
thread-670 got: 674
thread-927 got: 868
thread-917 got: 867
thread-253 got: 315
thread-677 got: 673
thread-679 got: 670
thread-681 got: 669
thread-683 got: 671
thread-671 got: 668
thread-230 got: 254
thread-641 got: 663
thread-674 got: 666
thread-662 got: 660
thread-682 got: 659
thread-675 got: 657
thread-676 got: 658
thread-638 got: 655
thread-689 got: 672
thread-637 got: 653
thread-663 got: 665
thread-626 got: 652
thread-661 got: 664
thread-636 got: 651
thread-635 got: 649
thread-897 got: 864
thread-632 got: 647
thread-634 got: 646
thread-678 got: 660
thread-627 got: 644
thread-909 got: 866
thread-631 got: 643
thread-684 got: 640
thread-587 got: 623
thread-639 got: 656
thread-595 got: 625
thread-667 got: 626
thread-229 got: 253
thread-606 got: 620
thread-666 got: 619
thread-225 got: 248
thread-628 got: 654
thread-604 got: 617
thread-629 got: 648
thread-899 got: 865
thread-622 got: 616
thread-892 got: 863
thread-891 got: 862
thread-890 got: 861
thread-887 got: 860
thread-888 got: 859
thread-885 got: 858
thread-873 got: 856
thread-869 got: 857
thread-633 got: 645
thread-857 got: 855
thread-849 got: 854
thread-219 got: 247
thread-835 got: 853
thread-218 got: 246
thread-625 got: 642
thread-613 got: 613
thread-624 got: 639
thread-217 got: 245
thread-692 got: 638
thread-688 got: 637
thread-694 got: 636
thread-650 got: 635
thread-664 got: 633
thread-643 got: 632
thread-665 got: 631
thread-647 got: 630
thread-620 got: 615
thread-590 got: 628
thread-596 got: 629
thread-616 got: 627
thread-823 got: 852
thread-618 got: 614
thread-822 got: 851
thread-228 got: 252
thread-227 got: 251
thread-612 got: 610
thread-644 got: 618
thread-605 got: 624
thread-609 got: 609
thread-593 got: 605
thread-603 got: 604
thread-600 got: 603
thread-598 got: 600
thread-597 got: 598
thread-592 got: 596
thread-589 got: 595
thread-591 got: 594
thread-586 got: 592
thread-215 got: 243
thread-216 got: 244
thread-615 got: 591
thread-213 got: 241
thread-610 got: 611
thread-614 got: 612
thread-583 got: 589
thread-621 got: 588
thread-859 got: 849
thread-856 got: 850
thread-608 got: 607
thread-611 got: 608
thread-607 got: 606
thread-853 got: 847
thread-855 got: 846
thread-601 got: 602
thread-854 got: 845
thread-852 got: 844
thread-850 got: 843
thread-851 got: 841
thread-837 got: 842
thread-602 got: 601
thread-594 got: 599
thread-848 got: 840
thread-208 got: 237
thread-599 got: 597
thread-826 got: 839
thread-814 got: 838
thread-821 got: 837
thread-809 got: 836
thread-214 got: 242
thread-810 got: 835
thread-811 got: 834
thread-320 got: 231
thread-212 got: 240
thread-588 got: 593
thread-207 got: 234
thread-322 got: 233
thread-302 got: 227
thread-617 got: 590
thread-314 got: 230
thread-209 got: 236
thread-186 got: 220
thread-299 got: 225
thread-191 got: 226
thread-184 got: 219
thread-311 got: 229
thread-185 got: 218
thread-623 got: 587
thread-260 got: 216
thread-304 got: 228
thread-279 got: 222
thread-197 got: 215
thread-0 got: 7
thread-201 got: 212
thread-297 got: 224
thread-244 got: 210
thread-188 got: 223
thread-121 got: 92
thread-59 got: 91
thread-156 got: 161
thread-242 got: 207
thread-13 got: 29
thread-261 got: 217
thread-81 got: 121
thread-26 got: 38
thread-64 got: 94
thread-203 got: 214
thread-1 got: 8
thread-254 got: 211
thread-130 got: 164
thread-150 got: 165
thread-200 got: 198
thread-206 got: 162
thread-232 got: 193
thread-494 got: 536
thread-559 got: 535
thread-549 got: 533
thread-574 got: 554
thread-565 got: 530
thread-554 got: 529
thread-563 got: 537
thread-847 got: 833
thread-555 got: 528
thread-550 got: 526
thread-537 got: 525
thread-543 got: 523
thread-846 got: 832
thread-844 got: 830
thread-845 got: 831
thread-551 got: 534
thread-843 got: 829
thread-558 got: 532
thread-842 got: 828
thread-841 got: 827
thread-839 got: 824
thread-840 got: 826
thread-833 got: 825
thread-532 got: 522
thread-824 got: 823
thread-838 got: 822
thread-829 got: 821
thread-818 got: 818
thread-815 got: 820
thread-807 got: 819
thread-831 got: 817
thread-548 got: 527
thread-819 got: 815
thread-789 got: 816
thread-552 got: 524
thread-793 got: 814
thread-488 got: 521
thread-816 got: 813
thread-479 got: 517
thread-785 got: 812
thread-524 got: 515
thread-523 got: 514
thread-499 got: 520
thread-483 got: 519
thread-467 got: 516
thread-521 got: 512
thread-522 got: 513
thread-517 got: 511
thread-836 got: 811
thread-830 got: 810
thread-825 got: 809
thread-805 got: 808
thread-803 got: 807
thread-802 got: 806
thread-800 got: 805
thread-798 got: 804
thread-515 got: 509
thread-797 got: 803
thread-794 got: 802
thread-516 got: 508
thread-502 got: 506
thread-511 got: 504
thread-510 got: 505
thread-786 got: 760
thread-774 got: 775
thread-780 got: 755
thread-769 got: 754
thread-779 got: 753
thread-768 got: 750
thread-745 got: 746
thread-514 got: 479
thread-736 got: 743
thread-484 got: 475
thread-731 got: 742
thread-482 got: 473
thread-410 got: 471
thread-29 got: 49
thread-430 got: 465
thread-438 got: 466
thread-433 got: 463
thread-434 got: 467
thread-525 got: 461
thread-500 got: 460
thread-57 got: 89
thread-534 got: 458
thread-509 got: 457
thread-485 got: 456
thread-498 got: 454
thread-487 got: 453
thread-418 got: 452
thread-508 got: 448
thread-531 got: 450
thread-478 got: 447
thread-477 got: 446
thread-475 got: 443
thread-474 got: 442
thread-473 got: 441
thread-468 got: 440
thread-714 got: 740
thread-385 got: 439
thread-773 got: 738
thread-376 got: 438
thread-711 got: 720
thread-783 got: 739
thread-54 got: 88
thread-772 got: 737
thread-771 got: 736
thread-749 got: 735
thread-741 got: 733
thread-747 got: 734
thread-118 got: 86
thread-450 got: 437
thread-120 got: 87
thread-48 got: 83
thread-50 got: 84
thread-379 got: 342
thread-266 got: 341
thread-329 got: 337
thread-368 got: 332
thread-361 got: 327
thread-453 got: 435
thread-358 got: 326
thread-754 got: 732
thread-47 got: 81
thread-750 got: 731
thread-44 got: 79
thread-748 got: 730
thread-746 got: 729
thread-742 got: 728
thread-734 got: 727
thread-733 got: 726
thread-459 got: 434
thread-730 got: 725
thread-727 got: 724
thread-725 got: 723
thread-49 got: 82
thread-40 got: 73
thread-723 got: 722
thread-722 got: 721
thread-46 got: 80
thread-110 got: 78
thread-707 got: 719
thread-705 got: 718
thread-703 got: 717
thread-409 got: 432
thread-691 got: 716
thread-42 got: 75
thread-690 got: 715
thread-687 got: 714
thread-349 got: 322
thread-685 got: 713
thread-41 got: 74
thread-45 got: 77
thread-43 got: 76
thread-451 got: 431
thread-347 got: 321
thread-338 got: 318
thread-334 got: 317
thread-449 got: 430
thread-249 got: 314
thread-447 got: 425
thread-445 got: 428
thread-436 got: 424
thread-446 got: 426
thread-259 got: 313
thread-256 got: 311
thread-427 got: 421
thread-429 got: 423
thread-435 got: 422
thread-424 got: 419
thread-428 got: 420
thread-248 got: 310
thread-413 got: 418
thread-414 got: 417
thread-251 got: 309
thread-412 got: 416
thread-408 got: 415
thread-405 got: 412
thread-411 got: 414
thread-406 got: 413
thread-247 got: 308
thread-404 got: 411
thread-245 got: 307
thread-133 got: 63
thread-402 got: 409
thread-403 got: 410
thread-243 got: 305
thread-400 got: 408
thread-241 got: 304
thread-399 got: 406
thread-401 got: 407
thread-333 got: 301
thread-328 got: 302
thread-420 got: 348
thread-383 got: 345
thread-389 got: 344
thread-325 got: 298
thread-330 got: 299
thread-380 got: 343
thread-262 got: 340
thread-258 got: 339
thread-370 got: 338
thread-317 got: 296
thread-222 got: 297
thread-332 got: 336
thread-365 got: 334
thread-319 got: 335
thread-323 got: 333
thread-326 got: 295
thread-369 got: 331
thread-327 got: 294
thread-363 got: 330
thread-366 got: 329
thread-321 got: 293
thread-313 got: 292
thread-318 got: 291
thread-305 got: 284
thread-341 got: 319
thread-344 got: 320
thread-306 got: 285
thread-308 got: 289
thread-255 got: 312
thread-303 got: 283
thread-301 got: 282
thread-281 got: 274
thread-246 got: 306
thread-15 got: 47
thread-287 got: 275
thread-289 got: 276
thread-280 got: 272
thread-276 got: 269
thread-672 got: 712
thread-223 got: 300
thread-660 got: 711
thread-659 got: 710
thread-658 got: 709
thread-657 got: 708
thread-272 got: 268
thread-656 got: 707
thread-655 got: 705
thread-654 got: 706
thread-652 got: 704
thread-653 got: 703
thread-651 got: 702
thread-275 got: 267
thread-649 got: 701
thread-312 got: 290
thread-307 got: 286
thread-310 got: 288
thread-274 got: 266
thread-271 got: 265
thread-269 got: 263
thread-231 got: 255
thread-265 got: 259
thread-706 got: 700
thread-298 got: 281
thread-296 got: 278
thread-728 got: 699
thread-729 got: 698
thread-286 got: 279
thread-726 got: 697
thread-293 got: 277
thread-721 got: 695
thread-724 got: 696
thread-285 got: 273
thread-278 got: 271
thread-720 got: 694
thread-277 got: 270
thread-263 got: 258
thread-719 got: 693
thread-716 got: 692
thread-717 got: 692
thread-713 got: 691
thread-715 got: 690
thread-712 got: 689
thread-268 got: 262
thread-270 got: 264
thread-710 got: 688
thread-704 got: 687
thread-252 got: 257
thread-702 got: 686
thread-233 got: 256
thread-264 got: 260
thread-701 got: 685
thread-700 got: 684
thread-699 got: 683
thread-718 got: 681
thread-709 got: 680
thread-693 got: 678
thread-696 got: 677
thread-708 got: 676
thread-199 got: 208
thread-697 got: 675
thread-669 got: 621
thread-619 got: 622
thread-167 got: 209
thread-220 got: 204
thread-238 got: 203
thread-239 got: 206
thread-240 got: 205
thread-204 got: 202
thread-585 got: 586
thread-584 got: 585
thread-202 got: 200
thread-237 got: 201
thread-151 got: 167
thread-236 got: 199
thread-169 got: 169
thread-235 got: 197
thread-234 got: 195
thread-158 got: 196
thread-205 got: 163
thread-196 got: 192
thread-28 got: 41
thread-646 got: 582
thread-648 got: 584
thread-645 got: 583
thread-224 got: 191
thread-149 got: 190
thread-642 got: 581
thread-582 got: 580
thread-192 got: 186
thread-148 got: 189
thread-576 got: 579
thread-190 got: 185
thread-195 got: 188
thread-194 got: 187
thread-189 got: 184
thread-187 got: 183
thread-178 got: 181
thread-181 got: 182
thread-176 got: 180
thread-166 got: 179
thread-18 got: 3
thread-142 got: 177
thread-164 got: 178
thread-138 got: 176
thread-193 got: 173
thread-175 got: 175
thread-183 got: 174
thread-135 got: 166
thread-173 got: 171
thread-163 got: 168
thread-172 got: 172
thread-170 got: 170
thread-27 got: 6
thread-14 got: 31
thread-128 got: 150
thread-89 got: 18
thread-8 got: 46
thread-97 got: 26
thread-153 got: 159
thread-579 got: 578
thread-580 got: 577
thread-157 got: 160
thread-38 got: 44
thread-129 got: 151
thread-140 got: 158
thread-139 got: 156
thread-32 got: 48
thread-137 got: 157
thread-127 got: 155
thread-141 got: 154
thread-22 got: 36
thread-134 got: 153
thread-34 got: 45
thread-131 got: 152
thread-31 got: 42
thread-10 got: 24
thread-23 got: 37
thread-19 got: 34
thread-17 got: 32
thread-125 got: 149
thread-24 got: 40
thread-126 got: 148
thread-39 got: 43
thread-25 got: 39
thread-100 got: 126
thread-75 got: 16
thread-2 got: 22
thread-98 got: 30
thread-16 got: 33
thread-171 got: 109
thread-3 got: 1
thread-12 got: 28
thread-21 got: 4
thread-159 got: 138
thread-20 got: 35
thread-96 got: 25
thread-160 got: 137
thread-145 got: 133
thread-7 got: 20
thread-116 got: 132
thread-56 got: 23
thread-36 got: 10
thread-70 got: 13
thread-9 got: 21
thread-581 got: 576
thread-84 got: 17
thread-6 got: 19
thread-578 got: 575
thread-569 got: 574
thread-568 got: 573
thread-567 got: 571
thread-566 got: 572
thread-109 got: 117
thread-33 got: 9
thread-577 got: 570
thread-573 got: 569
thread-315 got: 147
thread-564 got: 568
thread-562 got: 567
thread-561 got: 566
thread-571 got: 565
thread-182 got: 146
thread-179 got: 144
thread-71 got: 14
thread-545 got: 564
thread-533 got: 549
thread-174 got: 145
thread-162 got: 142
thread-180 got: 143
thread-177 got: 140
thread-69 got: 102
thread-168 got: 141
thread-62 got: 11
thread-542 got: 563
thread-541 got: 562
thread-146 got: 136
thread-540 got: 561
thread-143 got: 134
thread-539 got: 560
thread-161 got: 139
thread-136 got: 135
thread-74 got: 15
thread-123 got: 130
thread-113 got: 128
thread-101 got: 127
thread-102 got: 129
thread-5 got: 2
thread-94 got: 124
thread-93 got: 125
thread-80 got: 119
thread-122 got: 120
thread-88 got: 122
thread-92 got: 123
thread-79 got: 118
thread-78 got: 116
thread-77 got: 113
thread-103 got: 112
thread-106 got: 115
thread-104 got: 114
thread-112 got: 111
thread-76 got: 110
thread-87 got: 110
thread-73 got: 108
thread-72 got: 107
thread-86 got: 104
thread-165 got: 105
thread-52 got: 103
thread-107 got: 106
thread-570 got: 559
thread-556 got: 558
thread-546 got: 557
thread-575 got: 556
thread-557 got: 555
thread-572 got: 553
thread-547 got: 552
thread-538 got: 550
thread-544 got: 551
thread-67 got: 101
thread-530 got: 548
thread-527 got: 547
thread-529 got: 546
thread-526 got: 545
thread-63 got: 95
thread-144 got: 98
thread-560 got: 544
thread-506 got: 543
thread-507 got: 542
thread-154 got: 99
thread-66 got: 97
thread-65 got: 96
thread-147 got: 100
thread-58 got: 90
thread-124 got: 93
thread-504 got: 541
thread-536 got: 538
thread-518 got: 540
thread-519 got: 539
thread-396 got: 405
thread-397 got: 404
thread-391 got: 400
thread-357 got: 398
thread-355 got: 397
thread-465 got: 393
thread-461 got: 394
thread-119 got: 72
thread-111 got: 70
thread-335 got: 384

Process finished with exit code 0

